filename,num_segments,app_proof_cells,app_proof_cols,total_proof_time_ms,total_proof_time_excluding_trace_ms,app_proof_time_ms,app_proof_time_excluding_trace_ms,app_execute_preflight_time_ms,app_execute_metered_time_ms,app_trace_gen_time_ms,leaf_proof_time_ms,leaf_proof_time_excluding_trace_ms,inner_recursion_proof_time_ms,inner_recursion_proof_time_excluding_trace_ms,normal_instruction_ratio,openvm_precompile_ratio,powdr_ratio,powdr_rows
affine-hint-apc000/metrics.json,17,8680024268,14093,17902,8347,16548,7361,6705,1891,1645,841,581,513,405,0.9881017904084965,0.011898209591503414,0.0,0
affine-hint-apc003/metrics.json,15,7628892852,15750,17265,7706,16068,6841,6781,2066,1700,732,495,465,370,0.9503670234533791,0.01286241737872556,0.036770559167895366,2580480
affine-hint-apc010/metrics.json,10,4714449016,69900,16410,7133,15432,6431,6499,2423,1960,642,435,336,267,0.7395221397384182,0.013968018696673079,0.24650984156490877,4268032
affine-hint-apc030/metrics.json,5,1991098428,72380,13134,4217,12405,3687,6443,2908,1948,444,294,285,236,0.27261842225712407,0.019080151671939344,0.7083014260709366,5287936
affine-hint-apc100/metrics.json,5,1792054332,109230,13321,4143,12465,3534,6508,3025,2093,538,346,318,263,0.06453518620215584,0.021199390733651038,0.9142654230641931,6342656
manual/metrics.json,1,151291106,2968,1339,599,1003,322,134,81,386,103,78,233,199,0.577710734694477,0.42228926530552297,0.0,0
projective-apc000/metrics.json,52,25888613046,41170,49200,24189,45426,21496,17277,4528,4354,2459,1681,1315,1012,0.9888213602835431,0.011178639716456907,0.0,0
projective-apc003/metrics.json,19,8158318890,128649,36482,13143,34767,11931,16652,6968,5265,1162,777,553,435,0.6933306035552625,0.012923671582540947,0.29374572486219647,5554176
projective-apc010/metrics.json,17,7547064594,123611,35147,12252,33552,11110,16441,6714,5163,1076,732,519,410,0.6707830501443831,0.012493082154743778,0.3167238677008732,8658944
projective-apc030/metrics.json,10,3796140222,213508,31226,8468,29911,7573,16497,7328,5304,964,618,351,277,0.19519966825925114,0.014557792591466607,0.7902425391492822,8773632
projective-apc100/metrics.json,9,3281086642,248231,30972,7096,29593,6183,17464,7496,5448,1030,637,349,276,0.05403306506162052,0.01514399326246137,0.9308229416759181,10965760

